"","aged","bwtr14"
"1",0,3
"2",0,6
"3",8,10
"4",0,1
"5",8,3
"6",17,9
"7",10,2
"8",75,10
"9",89,6
"10",76,10
"11",123,5
"12",0,4
"13",205,10
"14",0,2
"15",29,9
"16",21,7
"17",119,2
"18",30,8
"19",127,7
"20",26,2
"21",8,8
"22",0,8
"23",3,2
"24",56,1
"25",99,8
"26",3,7
"27",77,8
"28",271,2
"29",0,8
"30",125,7
"31",51,10
"32",10,1
"33",14,1
"34",42,9
"35",0,2
"36",0,9
"37",262,3
"38",0,6
"39",29,7
"40",0,1
"41",0,1
"42",74,9
"43",2,9
"44",81,3
"45",4,1
"46",3,7
"47",0,1
"48",0,1
"49",71,8
"50",88,6
"51",107,10
"52",82,7
"53",8,3
"54",67,7
"55",0,1
"56",52,9
"57",1,1
"58",13,6
"59",0,2
"60",117,8
"61",50,4
"62",1,2
"63",0,1
"64",0,1
"65",0,1
"66",0,1
"67",0,1
"68",0,2
"69",0,3
"70",7,6
"71",7,2
"72",0,1
"73",0,1
"74",0,1
"75",4,2
"76",15,8
"77",23,3
"78",16,2
"79",3,9
"80",57,9
"81",0,2
"82",86,8
"83",88,4
"84",0,1
"85",0,1
"86",46,6
"87",0,1
"88",96,5
"89",0,8
"90",5,9
"91",117,3
"92",0,7
"93",0,6
"94",6,1
"95",8,6
"96",12,9
"97",0,2
"98",0,2
"99",183,7
"100",129,8
"101",1,2
"102",75,8
"103",0,1
"104",108,11
"105",33,4
"106",205,2
"107",0,5
"108",0,2
"109",67,9
"110",154,8
"111",0,1
"112",0,8
"113",0,13
"114",0,2
"115",0,3
"116",221,9
"117",196,7
"118",0,5
"119",15,3
"120",0,1
"121",1,2
"122",0,1
"123",0,1
"124",7,1
"125",0,1
"126",176,3
"127",1,10
"128",163,8
"129",0,7
"130",0,1
"131",3,1
"132",222,9
"133",1,2
"134",49,3
"135",0,1
"136",0,1
"137",11,2
"138",42,9
"139",0,1
"140",0,2
"141",0,1
"142",2,7
"143",0,2
"144",0,6
"145",250,10
"146",200,7
"147",123,2
"148",23,4
"149",20,3
"150",0,8
"151",2,5
"152",0,5
"153",0,1
"154",167,8
"155",2,2
"156",205,2
"157",0,1
"158",34,2
"159",59,4
"160",331,9
"161",158,4
"162",94,9
"163",0,7
"164",8,4
"165",8,2
"166",7,3
"167",9,1
"168",83,6
"169",0,2
"170",3,2
"171",5,2
"172",0,1
"173",14,9
"174",0,1
"175",0,1
"176",128,9
"177",0,1
"178",19,3
"179",0,1
"180",9,9
"181",0,1
"182",14,2
"183",6,1
"184",0,1
"185",0,8
"186",4,2
"187",11,1
"188",0,1
"189",19,2
"190",0,1
"191",8,3
"192",6,9
"193",2,4
"194",5,2
"195",0,1
"196",251,9
"197",320,9
"198",3,2
"199",66,9
"200",38,2
"201",1,2
"202",0,2
"203",0,2
"204",0,1
"205",0,1
"206",0,6
"207",24,10
"208",240,9
"209",13,2
"210",0,2
"211",0,7
"212",0,3
"213",150,7
"214",0,1
"215",0,1
"216",0,1
"217",364,8
"218",0,5
"219",38,6
"220",0,2
"221",10,9
"222",0,1
"223",24,2
"224",38,7
"225",0,1
"226",0,1
"227",27,2
"228",109,9
"229",310,10
"230",20,6
"231",331,9
"232",59,9
"233",12,3
"234",7,1
"235",0,8
"236",49,11
"237",162,6
"238",4,6
"239",0,6
"240",30,6
"241",112,1
"242",8,8
"243",0,1
"244",0,1
"245",68,2
"246",140,9
"247",0,7
"248",244,2
"249",188,9
"250",15,7
"251",1,1
"252",63,9
"253",26,9
"254",0,1
"255",21,2
"256",159,7
"257",0,1
"258",13,8
"259",0,2
"260",0,1
"261",1,2
"262",126,8
"263",1,3
"264",0,1
"265",0,1
"266",362,8
"267",150,9
"268",0,1
"269",0,1
"270",18,6
"271",0,1
"272",0,1
"273",0,1
"274",242,11
"275",163,10
"276",9,6
"277",20,8
"278",63,6
"279",200,8
"280",0,2
"281",7,6
"282",39,7
"283",1,3
"284",0,7
"285",23,2
"286",73,8
"287",10,8
"288",5,1
"289",0,1
"290",0,2
"291",0,8
"292",0,2
